ent_num,add_num,address,complete_address,country,add_remarks
9639,12812,,,,
9640,12813,,,,
9641,12128,,Gaza,Palestinian,
9642,12129,,"Hebron, West Bank",Palestinian,
9643,12814,,,,
9644,12815,,,,
9645,12130,,Gaza,Palestinian,
9646,12131,,"Ramallah, West Bank",Palestinian,
9647,68713,,,Region: Gaza,
9648,12817,,,,
9649,12132,,"Jenin, West Bank",Palestinian,
9650,12133,,"Ramallah, West Bank",Palestinian,
9651,12134,,"Tulkarim, West Bank",Palestinian,
9652,12135,,"Bethlehem, West Bank",Palestinian,
9653,12136,,"Qalqilya, West Bank",Palestinian,
9654,12137,,"Salfit, West Bank",Palestinian,
9655,12138,,"Nablus, West Bank",Palestinian,
9656,12139,,"Khan Younis, West Bank",Palestinian,
9657,12140,,"Hebron, West Bank",Palestinian,
9658,12141,,"Tubas, West Bank",Palestinian,
9659,31130,,Jabaliya,Region: Gaza,
9660,12142,,Gaza,Palestinian,
9661,12143,,"Rafah, West Bank",Palestinian,
9662,12144,,"Gaza City, Gaza",Palestinian,
9663,12145,,"Hebron, West Bank",Palestinian,
9664,12146,,Gaza,Palestinian,
9665,12147,,"Oja, West Bank",Palestinian,
9666,12148,,"Gaza City, Gaza",Palestinian,
9667,12149,,"Ramallah, West Bank",Palestinian,
9668,12819,,,,
9669,12820,,,,
9670,12821,,,,
9671,12822,,,,
9672,12823,,,,
9673,12824,,,,
9674,12825,,,,
9675,12826,,,,
9676,12827,,,,
9677,12828,,,,
9678,12829,,,,
9679,12830,,,,
9680,12831,,,,
9681,12832,,,,
9682,12833,,,,
9683,12834,,,,
9684,12835,,,,
9685,12836,,,,
9686,12837,,,,
9687,12838,,,,
9688,12150,,"Jenin, West Bank",Palestinian,
9689,12839,,,,
9690,12840,,,,
9691,12841,,,,
9692,12842,,,,
9693,12843,,,,
9694,12844,,,,
9695,12845,,,,
9696,12846,,,,
9697,12847,,,,
9698,12848,,,,
9699,12849,,,,
9700,12850,,,,
9701,12851,,,,
9702,12852,,,,
9703,12151,,Gaza,Palestinian,
9704,12853,,,,
9705,12854,,,,
9706,12855,,,,
9707,12856,,,,
9708,12857,,,,
9709,12858,,,,
9710,12859,,,,
9711,12860,,,,
9712,12861,,,,
9713,12862,,,,
9714,12863,,,,
9715,12864,,,,
9716,12865,,,,
15268,22761,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch)",Daqing 163453,China,
15268,22762,"9 Dongzhimen North Street, Dongcheng District, (Head Office)",Beijing 100007,China,
15268,22763,"No. 7 Century Ave, (Registered Office)","Xinjiang, Karamay 834000",China,
15268,22764,"No. 68 Zhongya South Rd, Economic and Technological Development Zone, (Urumqi, Xinjiang Branch)",Urumqi 830026,China,
17013,25798,"29, Bolshaya Morskaya str.",St. Petersburg 190000,Russia,
17013,25799,37 Plyushchikha ul.,Moscow 119121,Russia,
17013,25800,"43, Vorontsovskaya str.",Moscow 109044,Russia,
17013,52482,"11 litera, per. Degtyarny",St. Petersburg 191144,Russia,
17013,52483,"11, lit A, Degtyarnyy pereulok",St. Petersburg 191144,Russia,
17013,52484,"43, bld.1, Vorontsovskaya str.",Moscow 109147,Russia,
17013,52485,"Bashnya Zapad, Kompleks Federatsiya, 12, nab. Presnenskaya",Moscow 123317,Russia,
17013,52486,"str. 1, 43, ul. Vorontsovskaya",Moscow 109147,Russia,
17013,52488,Vorontsovskaya Str 43,Moscow 109147,Russia,
17014,25802,"3, Gagarinsky Pereulok",Moscow 119034,Russia,
17014,25803,3 Gagarinsky per.,Moscow 119034,Russia,
17015,25805,Akademik Sakharov Ave 9,Moscow 107996,Russia,
17015,52521,"Pr-kt, Akademika Sakharova, D. 9",Moscow 107078,Russia,
17016,25807,"16 Nametkina Street, Bldg. 1",Moscow 117420,Russia,
17017,25810,8/15 Korp. 3 ul. Rozhdestvenka,Moscow 107996,Russia,
17017,25811,"Bld 3 8/15, Rozhdestvenka St.",Moscow 107996,Russia,
17018,52487,19 ul. Vavilova,Moscow 117312,Russia,
17022,25840,26/1 Sofiyskaya Embankment,Moscow 115035,Russia,
17064,25919,"2, Udaltsova Street",Moscow 119415,Russia,
17064,25921,"22 A, Pobedy Street, Tarko-Sale",Yamalo-Nenets Autonomous District 629580,Russia,
17064,25922,"22a Pobedy ul., Tarko-Sale","Purovski raion, Tyumenskaya Oblast 629850",Russia,
17143,26038,"5, Let. A, Galernaya",Saint Petersburg 190000,Russia,
17143,26039,"d. 3-5 litera A Ch. Pom. 1N kab. 2401, ul. Pochtamtskaya",St. Petersburg 190000,Russia,
